"ident","name","municipality","iata_code","gps_code","iso_region","scheduled_service"
"GB-0385","Abbots Bromley Airfield","NULL","NULL","NULL","GB-ENG","0"
"GB-0935","Abbotts Hill Farm Airstrip","Hemel Hempstead, Hertfordshire","NULL","NULL","GB-ENG","0"
"EGPD","Aberdeen Dyce Airport","Aberdeen","ABZ","EGPD","GB-SCT","1"
"GB-0623","Aberdeen Royal Infirmary Helistrip","Aberdeen","NULL","NULL","GB-SCT","0"
"GB-0317","Abergavenny Airstrip","Abergavenny","NULL","NULL","GB-WLS","0"
"EGFA","Aberporth Airport","Aberporth","NULL","EGFA","GB-WLS","0"
"GB-0009","Aboyne Airfield","Aboyne","NULL","NULL","GB-SCT","0"
"GB-0715","Acaster Malbis Airstrip","York","NULL","NULL","GB-ENG","0"
"GB-0539","Achnasheen Airstrip","NULL","NULL","NULL","GB-SCT","0"
"GB-0934","Acthorpe Top Farm Airstrip","South Elkington","NULL","NULL","GB-ENG","0"
"GB-0995","Acton Farm Airstrip","Tonbridge, Kent","NULL","NULL","GB-ENG","0"
"GB-0985","Addenbrooke's Hospital Helipad","Trumpington, Cambridgeshire","NULL","NULL","GB-ENG","0"
"GB-0625","Aintree University Hospital Heliport","NULL","NULL","NULL","GB-ENG","0"
"GB-0444","Alcester Airfield","Alcester","NULL","NULL","GB-ENG","0"
"GB-0003","Alexandra Park Aerodrome","Manchester","NULL","NULL","GB-ENG","0"
"GB-0318","Allensmore Airfield","Allensmore","NULL","NULL","GB-ENG","0"
"GB-0838","Almondsbury Helicopter Base","NULL","NULL","NULL","GB-ENG","0"
"GB-1043","Altamuskin","NULL","NULL","NULL","GB-NIR","0"
"GB-1069","Altnagelvin Area Hospital East Heliport","Altnagelvin","NULL","NULL","GB-NIR","0"
"GB-1068","Altnagelvin Area Hospital West Heliport","Altnagelvin","NULL","NULL","GB-NIR","0"
"EGWA","Andover Airfield","Andover","NULL","EGWA","GB-ENG","0"
"EGSL","Andrewsfield","Braintree, Essex","NULL","EGSL","GB-ENG","0"
"EGOV","Anglesey Airport","Angelsey","VLY","EGOV","GB-WLS","1"
"GB-0549","Annies Field Microlight Site","Maldon, Essex","NULL","NULL","GB-ENG","0"
"GB-0319","Archerfield Airstrip","NULL","NULL","NULL","GB-SCT","0"
"GB-0320","Arclid Airfield","Arclid","NULL","NULL","GB-ENG","0"
"GB-0944","Arden Heath Farm Airstrip","NULL","NULL","NULL","GB-ENG","0"
